"16777216","16777471","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project","cloudflare.com","CDN","13335","CloudFlare Inc","1","-"
"16893108","16893108","RES","TH","Thailand","Nakhon Phanom","Si Songkhram","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","3","-"
"16952977","16952977","RES","TH","Thailand","Phitsanulok","Phitsanulok","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","1","-"
"16968692","16968692","RES","TH","Thailand","Phangnga","Khura Buri","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","27","-"
"17096915","17096915","RES","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","6","-"
"17478398","17478398","RES","TH","Thailand","Saraburi","Nong Khae","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","27","-"
"17494724","17494724","RES","TH","Thailand","Phra Nakhon Si Ayutthaya","Phra Nakhon Si Ayutthaya","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","11","-"
"17763870","17763888","DCH","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited","1","-"
"18126512","18126512","RES","TH","Thailand","Ang Thong","Pho Thong","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","3","-"
"18135943","18135943","RES","TH","Thailand","Chanthaburi","Khao Khitchakut","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","18","-"
"18275733","18275733","RES","IN","India","Karnataka","Bengaluru","Tikona Infinet Ltd.","tikona.in","ISP","45528","Tikona Infinet Ltd.","7","-"
"18874966","18874966","RES","MY","Malaysia","Sarawak","Kuching","Telekom Malaysia Berhad","tm.net.my","ISP","4788","TM Technology Services Sdn. Bhd.","17","-"
"19152308","19152308","RES","HK","Hong Kong","Hong Kong","Hong Kong","Hong Kong Telecommunications (HKT) Limited","netvigator.com","ISP/MOB","4760","HKT Limited","26","-"
"19292218","19292218","RES","IN","India","Tamil Nadu","Chennai","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","15","-"
"19327350","19327350","RES","IN","India","Gujarat","Mahesana","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","17","-"
"19362831","19362831","RES","IN","India","Kerala","Manjeri","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","27","-"
"19388946","19388946","RES","IN","India","Uttar Pradesh","Kanpur","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","19","-"
"19791950","19791950","RES","TH","Thailand","Roi Et","Kaset Wisai","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","11","-"
"19807489","19807489","RES","TH","Thailand","Songkhla","Thepha","Total Access Communication PLC","dtac.co.th","ISP/MOB","132618","Real Future Company Limited","29","-"
"19830544","19830544","RES","TH","Thailand","Sukhothai","Sukhothai","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","5","-"
"19861282","19861282","RES","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","29","-"
"19879529","19879529","RES","TH","Thailand","Chon Buri","Pattaya","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","29","-"
"19909217","19909217","RES","TH","Thailand","Chachoengsao","Chachoengsao","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","27","-"
"20195800","20195800","RES","VN","Viet Nam","Ha Noi","Bach Kim","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","20","-"
"20229601","20229601","RES","VN","Viet Nam","Da Nang","Da Nang","FPT Telecom Company","fpt.com.vn","ISP","18403","FPT Telecom Company","24","-"
"20252047","20252047","RES","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","28","-"
"20268344","20268344","RES","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","12","-"
"20284579","20284579","RES","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","27","-"
"20305163","20305163","RES","VN","Viet Nam","Hai Phong","Haiphong","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","1","-"
"20334612","20334612","RES","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","15","-"
"20364687","20364687","RES","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","14","-"
"20373401","20373401","RES","VN","Viet Nam","Dak Lak","Buon Ma Thuot","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","16","-"
"20393873","20393873","RES","VN","Viet Nam","Dong Nai","Bien Hoa","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","18","-"
"20418263","20418263","RES","VN","Viet Nam","Nghe An","Dong Thap","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","6","-"
"20437987","20437987","RES","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","23","-"
"21023410","21023410","RES","HK","Hong Kong","Hong Kong","Hong Kong","Hong Kong Telecommunications (HKT) Limited","netvigator.com","ISP/MOB","4760","HKT Limited","26","-"
"21600856","21600856","RES","JP","Japan","Hyogo","Amagasaki","NTT DoCoMo Inc.","nttdocomo.com","ISP/MOB","9605","NTT DoCoMo Inc.","10","-"
"22020357","22020357","DCH","CN","China","Shaanxi","Xi'an","ChinaNet Shaanxi Province Network","chinatelecom.com.cn","DCH","4134","China Telecom","30","SCANNER"
"22842258","22842258","PUB","CN","China","Beijing","Beijing","Huawei Public Cloud Service","huawei.com","DCH","55990","Huawei Cloud Service Data Center","30","-"
"24456825","24456825","DCH","CN","China","Beijing","Beijing","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited","1","BOTNET"
"25192769","25192769","RES","AU","Australia","Queensland","Brisbane","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","9","-"
"26303088","26303088","RES","AU","Australia","New South Wales","Sydney","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","20","-"
"26375944","26375944","RES","AU","Australia","Queensland","Brisbane","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","14","-"
"27116347","27116347","RES","AU","Australia","New South Wales","Sydney","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","24","-"
"27300971","27300971","RES","TW","Taiwan (Province of China)","Taoyuan","Taoyuan","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP/MOB","3462","Data Communication Business Group","27","-"
"27397403","27397403","RES","TW","Taiwan (Province of China)","Taipei","Taipei","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP/MOB","3462","Data Communication Business Group","6","-"
"27502307","27502307","RES","TW","Taiwan (Province of China)","New Taipei","Banqiao","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP/MOB","3462","Data Communication Business Group","16","-"
"27629030","27629030","RES","TW","Taiwan (Province of China)","Taichung","Taichung","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP/MOB","3462","Data Communication Business Group","11","-"
"27871496","27871496","RES","TW","Taiwan (Province of China)","Taipei","Taipei","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP/MOB","3462","Data Communication Business Group","18","-"
"28000718","28000718","RES","TW","Taiwan (Province of China)","Taoyuan","Taoyuan","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP/MOB","3462","Data Communication Business Group","17","-"
"28116077","28116077","RES","TW","Taiwan (Province of China)","Tainan","Tainan","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP/MOB","3462","Data Communication Business Group","19","-"
"28244556","28244556","RES","TW","Taiwan (Province of China)","Tainan","Tainan","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP/MOB","3462","Data Communication Business Group","24","-"
"28474952","28474952","RES","PS","Palestine, State of","Nablus","Nablus","Palestine Telecommunications Company","paltel.net","ISP/MOB","12975","Palestine Telecommunications Company (Paltel)","4","-"
"28519614","28519614","RES","PS","Palestine, State of","Nablus","Nablus","Palestine Telecommunications Company","paltel.net","ISP/MOB","12975","Palestine Telecommunications Company (Paltel)","27","-"
"29050136","29050136","RES","IN","India","Rajasthan","Jaipur","Vodafone Idea Ltd","vodafoneidea.com","MOB","45271","Vodafone Idea Ltd","29","-"
"29081389","29081389","RES","IN","India","Kerala","Kasaragod","Idea Cellular Limited","ideacellular.com","MOB","45271","Vodafone Idea Ltd","4","-"
"29276412","29276412","RES","CN","China","Heilongjiang","Harbin","China Unicom Heilongjiang Province Network","chinaunicom.com","ISP","4837","China Unicom China169 Backbone","19","-"
"29790309","29790309","RES","CN","China","Henan","Zhengzhou","Henan Telecom Corporation","chinatelecom.com.cn","ISP","4134","China Telecom","5","-"
"31510811","31510811","RES","KR","Korea (the Republic of)","Incheon-gwangyeoksi","Kimch'on","SK Broadband Co Ltd","skbroadband.com","ISP","9318","SK Broadband Co Ltd","19","-"
"32759913","32759913","VPN","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","SK Broadband Co Ltd","skbroadband.com","ISP","9318","SK Broadband Co Ltd","1","-"
"33834638","33834638","RES","FR","France","Occitanie","Montpellier","Orange S.A.","orange.com","ISP/MOB","3215","Orange S.A.","22","-"
"34295356","34295356","RES","FR","France","Bretagne","Rennes","Orange S.A.","orange.com","ISP/MOB","3215","Orange S.A.","4","-"
"34608128","34608383","DCH","RU","Russian Federation","Nizhegorodskaya oblast'","Nizhniy Novgorod","Akamai International BV","akamai.com","CDN","12389","PJSC Rostelecom","1","-"
"34962242","34962399","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam","Akamai International BV","akamai.com","CDN","32787","Akamai Technologies Inc.","1","-"
"35270747","35270767","DCH","DE","Germany","Hessen","Frankfurt am Main","Play2Go.Cloud - Cheap and Reliable Hosting","scaleblade.com","DCH","215439","Play2Go International Limited","1","-"
"35287130","35287130","PUB","DE","Germany","Hessen","Frankfurt am Main","U1Host Ltd","u1host.com","DCH","213877","U1 Digital Services Ltd","30","-"
"35326418","35326424","DCH","DE","Germany","Hessen","Frankfurt am Main","U1Host Ltd","u1host.com","DCH","213877","U1 Digital Services Ltd","1","-"
"35337941","35337983","DCH","RU","Russian Federation","Moskva","Moscow","Xorek.Cloud Moscow","xorek.cloud","DCH","215590","DpkgSoft International Limited","1","-"
"35374266","35374266","PUB","US","United States of America","Utah","Orem","Ace Data Centers II LLC","acedatacenter.com","DCH","3257","GTT Communications Inc.","30","-"
"35656737","35656737","RES","IT","Italy","Campania","Naples","Vodafone Italia S.p.A.","vodafone.it","ISP/MOB","30722","Fastweb SpA","23","-"
"35936309","35936309","RES","IT","Italy","Lombardia","Milan","Statically IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","18","-"
"36022270","36022270","RES","IT","Italy","Emilia-Romagna","Modena","Statically IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","17","-"
"36083353","36083353","RES","IT","Italy","Sicilia","Siracusa","IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","1","-"
"36146986","36146986","RES","IT","Italy","Toscana","Florence","IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","17","-"
