"281470698520576","281470698520831","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project","cloudflare.com","CDN","13335","CloudFlare Inc","1","-"
"281470698635334","281470698635334","RES","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","18","-"
"281470698697185","281470698697185","RES","TH","Thailand","Loei","Phu Ruea","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","7","-"
"281470698816095","281470698816095","RES","TH","Thailand","Nong Khai","Fao Rai","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","5","-"
"281470699091428","281470699098634","DCH","CN","China","Beijing","Beijing","Knet Techonlogy (Beijing) Co. Ltd.","knet.cn","DCH","-","-","1","-"
"281470699228466","281470699228466","RES","TH","Thailand","Suphan Buri","Song Phi Nong","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","8","-"
"281470699363244","281470699363534","DCH","CN","China","Guangdong","Guangzhou","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited","1","-"
"281470699548621","281470699548621","PUB","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited","30","-"
"281470699875680","281470699875680","RES","TH","Thailand","Chon Buri","Pattaya","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","10","-"
"281470699888485","281470699888485","RES","TH","Thailand","Phetchabun","Nong Phai","TOT Public Company Limited","tot.co.th","ISP/MOB","23969","TOT Public Company Limited","20","-"
"281470700117483","281470700117483","PUB","CN","China","Nei Mongol","Ulanqab","China Unicom Innermongolia Province Network","chinaunicom.com","DCH","139007","UNICOM InnerMongolia Province Network","30","-"
"281470700631791","281470700631791","RES","MY","Malaysia","Wilayah Persekutuan Kuala Lumpur","Kuala Lumpur","Telekom Malaysia Berhad","tm.net.my","ISP","4788","TM Technology Services Sdn. Bhd.","13","-"
"281470700933326","281470700933326","RES","HK","Hong Kong","Hong Kong","Hong Kong","Hong Kong Telecommunications (HKT) Limited","netvigator.com","ISP/MOB","4760","HKT Limited","8","-"
"281470701028666","281470701028666","RES","IN","India","Gujarat","Dhasa","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","15","-"
"281470701047771","281470701047771","RES","IN","India","Maharashtra","Thane","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","17","-"
"281470701071925","281470701071925","RES","IN","India","Gujarat","Ahmedabad","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","20","-"
"281470701095819","281470701095819","RES","IN","India","Kerala","Irinjalakuda","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","22","-"
"281470701111908","281470701111908","RES","IN","India","Chhattisgarh","Akaltara","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","24","-"
"281470701122483","281470701122483","RES","IN","India","Karnataka","Mahalingpur","Vodafone Essar Limited","vodafone.in","ISP/MOB","38266","Vodafone Idea Ltd","8","-"
"281470701252007","281470701252007","RES","AU","Australia","New South Wales","Newcastle","SingTel Optus Pty Ltd","optus.com.au","ISP/MOB","4804","Microplex Pty Ltd","15","-"
"281470701542836","281470701542836","RES","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","17","-"
"281470701574606","281470701574606","RES","TH","Thailand","Chon Buri","Pattaya","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","9","-"
"281470701608021","281470701608021","RES","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","16","-"
"281470701640446","281470701640446","RES","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","Total Access Communication PLC","dtac.co.th","ISP/MOB","24378","Total Access Communication PLC","29","-"
"281470701938717","281470701938717","RES","VN","Viet Nam","Lang Son","Lang Son","FPT Broadband Service","fpt.com.vn","ISP","18403","FPT Telecom Company","11","-"
"281470701970725","281470701970725","RES","VN","Viet Nam","Binh Dinh","Qui Nhon","FPT Telecom Company","fpt.com.vn","ISP","18403","FPT Telecom Company","23","-"
"281470701993242","281470701993242","RES","VN","Viet Nam","Da Nang","Da Nang","FPT Telecom Company","fpt.com.vn","ISP","18403","FPT Telecom Company","29","-"
