"0","0","-","-","-","-","0.000000","0.000000","-","-","Unspecified","-","-","-","-","-","-"
"281470699847680","281470699852031","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00","TOT Public Company Limited","tot.co.th","DSL","66","02","THXX0002","Bangkok"
"281470700732872","281470700732887","JP","Japan","Tokyo","Tokyo","35.689497","139.692317","105-0003","+09:00","NTT PC Communications Inc.","nttpc.co.jp","DSL","81","042","JAXX0085","Tokyo"
"281470701354496","281470701354751","AU","Australia","New South Wales","Sydney","-33.867780","151.207052","2000","+10:00","SingTel Optus Pty Ltd","optus.com.au","DSL","61","02","ASXX0112","Sydney"
"281470702120960","281470702121471","VN","Viet Nam","Ha Noi","Hanoi","21.024411","105.841460","10000","+07:00","FPT Broadband Service","fpt.com.vn","DSL","84","04","VMXX0006","Hanoi"
"281470706082048","281470706082303","JP","Japan","Osaka","Osaka","34.694219","135.502231","541-0041","+09:00","SoftBank Corp.","softbank.jp","DSL","81","072","JAXX0071","Osaka"
"281470707694080","281470707695359","AU","Australia","New South Wales","Sydney","-33.867780","151.207052","2000","+10:00","Telstra Limited","telstra.com.au","DSL","61","02","ASXX0112","Sydney"
"281470708446208","281470708446463","AU","Australia","Australian Capital Territory","Canberra","-35.283460","149.128070","2612","+10:00","Telstra Limited","telstra.com.au","DSL","61","02","ASXX0023","Canberra"
"281470709566976","281470709568511","TW","Taiwan (Province of China)","Yunlin","Douliu","23.709463","120.543156","640","+08:00","Chunghwa Telecom Co. Ltd.","cht.com.tw","DSL","886","05","TWXX0002","Chia-i"
"281470710191360","281470710191615","CH","Switzerland","Zurich","Zurich","47.366825","8.549790","8099","+02:00","Amazon.com Inc.","amazon.com","T1","41","044","SZXX0033","Zurich"
"281470710293736","281470710293743","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00","TOT Public Company Limited","tot.co.th","DSL","66","02","THXX0002","Bangkok"
"281470710524160","281470710524415","CN","China","Nei Mongol","Baotou","40.651910","109.822920","014010","+08:00","ChinaNet Neimenggu Province Network","chinatelecom.com.cn","T1","86","0472","CHXX0018","Dalad Qi"
"281470712835840","281470712838911","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","37.566309","126.977207","06030","+09:00","LG Dacom Corporation","uplus.co.kr","DSL","82","02","KSXX0037","Seoul"
"281470714382848","281470714383103","KR","Korea (the Republic of)","Gyeonggi-do","Ansan","37.323596","126.822362","15649","+09:00","SK Broadband Co Ltd","skbroadband.com","DSL","82","031","KSXX0002","Anyang"
"281470715569152","281470715569919","FR","France","Ile-de-France","Issy-les-Moulineaux","48.821270","2.277520","92867","+02:00","Orange S.A.","orange.com","DSL","33","01","FRXX0281","Boulogne-Billancourt"
"281470715993856","281470715994111","FR","France","Bretagne","Rennes","48.111980","-1.674290","35998","+02:00","Orange S.A.","orange.com","DSL","33","02","FRXX0114","Rennes"
"281470716355331","281470716355331","FR","France","Provence-Alpes-Cote-d'Azur","Marseille","43.296950","5.381070","13942","+02:00","Akamai International BV","akamai.com","T1","33","04","FRXX0059","Marseille"
"281470716737280","281470716737535","FR","France","Ile-de-France","Aubervilliers","48.916544","2.384315","93537","+02:00","Akamai International BV","akamai.com","T1","33","01","FRXX0007","Aubervilliers"
"281470717582848","281470717583103","IT","Italy","Piemonte","Ivrea","45.458407","7.871661","10015","+02:00","IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","DSL","39","00125","ITXX0118","Donnaz"
"281470717929728","281470717929983","IT","Italy","Sicilia","Trapani","38.015840","12.510770","91100","+02:00","Vodafone Italia S.p.A.","vodafone.it","DSL","39","00923","ITXX0077","Trapani"
"281470718320384","281470718320895","IT","Italy","Campania","Naples","40.833380","14.250132","80147","+02:00","Ip Addresses Assigned to VF-IT Customers","vodafonedsl.it","DSL","39","0081","ITXX0052","Naples"
"281470719005707","281470719005707","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam","52.378502","4.899980","1000","+02:00","Thomas Family Investments Limited","globalaxs.net","T1","31","020","NLXX0002","Amsterdam"
"281470719409152","281470719409407","RU","Russian Federation","Kemerovskaya oblast'","Mariinsk","56.213890","87.747220","652156","+07:00","OJSC Sibirtelecom","sibirtelecom.ru","DSL","7","0384","RSXX0264","Mariinsk"
"281470719766528","281470719766783","SE","Sweden","Kalmar lan","Sjoang","57.783610","16.650000","59396","+02:00","Hi3G Access AB","hi3gaccess.se","DSL","46","0490","SWXX0055","Malilla"
"281470720039168","281470720039423","KZ","Kazakhstan","Qyzylorda oblysy","Zhangaqorghan","43.915000","67.248060","120600","+05:00","Kcell JSC","kcell.kz","DSL","7","0800","KZXX0046","Ciili"
"281470720540928","281470720541183","PT","Portugal","Viseu","Viseu","40.661010","-7.909710","3500-999","+01:00","PT Comunicacoes S.A.","telepac.pt","DSL","351","0232","POXX0080","Viseu"
"281470720930048","281470720930303","GR","Greece","Anatoliki Makedonia kai Thraki","Potamia","40.716330","24.728590","640 04","+03:00","Otenet","otenet.gr","DSL","30","02593","GRXX0008","Kavala"
"281470721600256","281470721600511","GB","United Kingdom of Great Britain and Northern Ireland","England","Elephant & Castle","51.495140","-0.100570","SE1","+01:00","TalkTalk Communications Limited","talktalkbusiness.co.uk","DSL","44","020","UKXX0926","Lambeth"
"281470721960704","281470721960959","GB","United Kingdom of Great Britain and Northern Ireland","England","Dover","51.133330","1.300000","CT17","+01:00","TalkTalk Communications Limited","talktalkbusiness.co.uk","DSL","44","01304","UKXX0042","Dover"
"281470722308176","281470722308183","DK","Denmark","Hovedstaden","Hillerod","55.926670","12.310910","3400","+02:00","TDC Holding A/S","tdc.dk","DSL","45","048","DAXX0018","Hillerod"
"281470722638336","281470722638343","IT","Italy","Veneto","Rossi","45.838760","11.411920","36011","+02:00","Sartoria Rossi S.r.l.","telecomitalia.it","COMP","39","00445","ITXX0088","Vicenza"
"281470722656700","281470722656703","IT","Italy","Veneto","Mestre","45.490280","12.242500","30173","+02:00","Con.tra.me - Consorzio Trasporti Mestre","telecomitalia.it","COMP","39","0041","ITXX0041","Mestre"
"281470722671464","281470722671467","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","+02:00","Telecom Italia S.p.A.","telecomitalia.it","DSL","39","002","ITXX0042","Milan"
"281470722695424","281470722695431","IT","Italy","Piemonte","Biella","45.559860","8.050020","13900","+02:00","DM Drogerie Markt SRL","dm-drogeriemarkt.it","COMP","39","0015","ITXX0118","Donnaz"
"281470722721816","281470722721819","IT","Italy","Piemonte","Moncalieri","44.996250","7.690320","10024","+02:00","Iperbimbo SRL","iperbimbo.com","COMP","39","0011","ITXX0046","Moncalieri"
"281470722753184","281470722753191","IT","Italy","Lombardia","Busto Arsizio","45.611286","8.849117","21052","+02:00","Marchini Piante SAS di Marchini Giorgio & C.","telecomitalia.it","COMP","39","00331","ITXX0082","Varese"
"281470722772008","281470722772015","IT","Italy","Emilia-Romagna","Forli","44.223718","12.052520","47100","+02:00","Unieuro SpA","telecomitalia.it","COMP","39","00543","ITXX0150","Ravenna"
"281470722791236","281470722791239","IT","Italy","Emilia-Romagna","Bologna","44.493859","11.338558","40141","+02:00","Lepida S.c.p.A.","lepida.it","T1","39","0051","ITXX0006","Bologna"
"281470722805920","281470722805927","IT","Italy","Campania","Pellegrini","40.183330","15.533330","84030","+02:00","Pellegrini Fabio","telecomitalia.it","COMP","39","00974","ITXX0123","Laurino"
"281470722822216","281470722822223","IT","Italy","Lazio","Rome","41.894253","12.484253","00135","+02:00","Liceo Scientifico Statale","tuttopmi.it","COMP","39","006","ITXX0067","Rome"
"281470722840264","281470722840267","IT","Italy","Lazio","Rome","41.894253","12.484253","00135","+02:00","Cogeacostruzionigeneraliabruzzesisocietaaresponsabilitalimitata","telecomitalia.it","COMP","39","006","ITXX0067","Rome"
"281470722867424","281470722867431","IT","Italy","Toscana","Pietrasanta","43.952240","10.224800","55045","+02:00","Azzurro Italia H.M.G. SRL","telecomitalia.it","COMP","39","00584","ITXX0037","Lucca"
"281470722898400","281470722898435","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","+02:00","Telecom Italia S.p.A.","telecomitalia.it","DSL","39","002","ITXX0042","Milan"
"281470722908784","281470722908791","IT","Italy","Lombardia","Baranzate","45.527170","9.117240","20021","+02:00","Citt Trattamenti Termici SRL","telecomitalia.it","COMP","39","002","ITXX0042","Milan"
"281470722927128","281470722927131","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","+02:00","Intesa Sanpaolo S.p.A.","intesasanpaolo.com","COMP","39","002","ITXX0042","Milan"
"281470722946344","281470722946351","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","+02:00","Telecom Italia S.p.A.","telecomitalia.it","DSL","39","002","ITXX0042","Milan"
"281470722963952","281470722963955","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","+02:00","DK","dk.com","COMP","39","002","ITXX0042","Milan"
"281470722986728","281470722986735","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","+02:00","Telecom Italia S.p.A.","telecomitalia.it","DSL","39","002","ITXX0042","Milan"
"281470723012008","281470723012011","IT","Italy","Emilia-Romagna","Marzabotto","44.340860","11.204710","40043","+02:00","Ente di Gestione Per I Parchi E Biodiversita'-Emilia Orientale","telecomitalia.it","COMP","39","0051","ITXX0006","Bologna"
"281470723035824","281470723035831","IT","Italy","Piemonte","Torino","45.070490","7.686820","10138","+02:00","Light Media S.r.l.","telecomitalia.it","COMP","39","0011","ITXX0081","Turin"
