"281470698520576","281470698520831","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project"
"281470699547408","281470699547861","DCH","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd."
"281470702092824","281470702092824","VPN","VN","Viet Nam","Ha Noi","Hanoi","FPT Broadband Service"
"281470706225530","281470706226017","DCH","CN","China","Beijing","Beijing","Tencent Cloud Computing (Beijing) Co. Ltd."
"281470715350337","281470715351259","DCH","US","United States of America","Virginia","Redwood","Oracle Svenska AB"
"281470716705254","281470716705256","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam","Akamai International BV"
"281470717080576","281470717080625","DCH","FI","Finland","Uusimaa","Helsinki","Xorek.Cloud Helsinki"
"281470719015953","281470719015953","DCH","US","United States of America","Texas","Dallas","Clouvider Limited"
"281470719039232","281470719039234","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Internet Utilities Europe and Asia Limited"
"281470719150449","281470719150449","PUB","US","United States of America","California","Los Angeles","Kuroit LLC"
"281470719207763","281470719207769","DCH","NL","Netherlands (Kingdom of the)","Zuid-Holland","Naaldwijk","WorldStream B.V."
"281470724255291","281470724255291","VPN","ES","Spain","Catalunya","Barcelona","Telefonica de Espana Sau"
"281470728922848","281470728922855","DCH","DE","Germany","Hessen","Eschborn","Karl Roll"
"281470732074253","281470732074253","DCH","US","United States of America","California","Los Angeles","Arelion Sweden AB"
"281470732120116","281470732120128","DCH","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore"
"281470732215496","281470732215511","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"281470732545328","281470732545366","DCH","IN","India","Maharashtra","Mumbai","Amazon Data Services India"
"281470732621741","281470732621741","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"281470732637794","281470732637796","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"281470732654360","281470732654360","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"281470732713783","281470732713783","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"281470732781520","281470732781529","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK"
"281470732880134","281470732880134","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470732916736","281470732917759","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733014094","281470733014094","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733057016","281470733057016","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733066884","281470733066906","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733100335","281470733100336","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733111947","281470733111972","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733129583","281470733129592","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733144962","281470733144962","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733170006","281470733170006","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733203227","281470733203234","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733227382","281470733227392","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733242212","281470733242216","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733334401","281470733334463","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733377172","281470733377195","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733456828","281470733456828","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733492757","281470733492761","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733533754","281470733533817","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733573517","281470733573548","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733611252","281470733611252","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc."
"281470733736673","281470733736673","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd"
"281470733790653","281470733790653","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd"
"281470733875082","281470733875082","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd"
"281470733910016","281470733910035","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc."
"281470733965849","281470733965854","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc."
"281470734037184","281470734037191","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc."
"281470734349644","281470734349644","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"281470734404961","281470734404999","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"281470734449306","281470734449351","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"281470734511664","281470734511729","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"281470734608519","281470734608563","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"281470734690401","281470734690422","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc."
"281470736324492","281470736324526","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"281470736501406","281470736501467","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"281470736658153","281470736658220","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"281470736749541","281470736749578","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"281470736878103","281470736878296","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"281470737046895","281470737047060","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"281470737225589","281470737225915","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH"
"281470737327474","281470737327474","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"281470737393055","281470737393055","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"281470737475223","281470737475223","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"281470737559860","281470737559860","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"281470737648311","281470737648311","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"281470737725237","281470737725237","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
"281470737802817","281470737802817","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc."
